order_id,order_date,user_id,payment_name,shipper_name,order_price,order_discount,voucher_name,voucher_price,order_total,rating_status
11100023,2022-01-29,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
11100033,2022-02-14,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
11100043,2022-03-05,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
11100053,2022-04-26,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
11100063,2022-05-07,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
11100073,2022-05-20,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
11100083,2022-06-03,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
11100093,2022-06-24,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
11100103,2022-07-04,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
11100113,2022-07-25,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
11100123,2022-07-16,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
11100014,2022-01-21,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
11100024,2022-01-22,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
11100034,2022-02-14,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
11100044,2022-03-05,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
11100054,2022-04-28,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
11100064,2022-05-07,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
11100074,2022-05-22,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
11100084,2022-06-03,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
11100094,2022-06-24,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
11100104,2022-07-04,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
11100114,2022-07-23,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
11100124,2022-07-23,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
11100015,2022-01-23,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
11100025,2022-01-29,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
11100035,2022-02-14,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
11100045,2022-03-05,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
11100055,2022-04-26,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
11100065,2022-05-07,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
11100075,2022-05-20,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
11100085,2022-06-03,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
11100095,2022-06-24,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
11100105,2022-07-04,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
11100115,2022-07-25,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
11100125,2022-07-16,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
111000261,2022-01-23,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
111000231,2022-01-22,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
111000361,2022-02-17,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
111000461,2022-03-08,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
111000561,2022-04-20,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
111000661,2022-05-10,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
111000761,2022-05-21,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
111000861,2022-06-11,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
111000961,2022-06-25,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
111001061,2022-07-03,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
111001161,2022-07-05,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
111001261,2022-07-08,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
111000267,2022-01-23,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
111000237,2022-01-22,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
111000367,2022-02-17,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
111000467,2022-03-08,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
111000567,2022-04-20,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
111000667,2022-05-10,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
111000767,2022-05-21,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
111000867,2022-06-11,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
111000967,2022-06-25,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
111001067,2022-07-03,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
111001167,2022-07-05,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
111001267,2022-07-08,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
1110002671,2022-01-20,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
1110002371,2022-01-13,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
1110003671,2022-02-15,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
1110004671,2022-03-17,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
1110005671,2022-04-19,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
1110006671,2022-05-10,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
1110007671,2022-05-21,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
1110008671,2022-06-12,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
1110009671,2022-06-28,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
1110010671,2022-07-17,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
1110011671,2022-07-29,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
1110012671,2022-07-08,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
1110002672,2022-01-20,100101,Debit,JNE Express,250000,15000,New User,5000.0,230000,Medium Impact
1110002372,2022-01-13,100102,Debit,JNE Express,620000,40000,New User,5000.0,575000,Medium Impact
1110003672,2022-02-15,100103,Credit,JNE Express,6000000,1000000,New User,5000.0,4995000,Very Low Impact
1110004672,2022-03-17,100102,Wallet,JNE Express,3150000,45000,,,3105000,High Impact
1110005672,2022-04-19,100105,Debit,Sicepat Express,4000000,1000000,New User,5000.0,2995000,Very Low Impact
1110006672,2022-05-10,100103,Debit,Sicepat Express,4500000,1030000,,,3470000,Medium High Impact
1110007672,2022-05-21,100106,Debit,JNE Express,870000,25000,,,845000,High Impact
1110008672,2022-06-12,100108,Credit,Sicepat Express,2000000,0,New User,5000.0,1995000,Medium High Impact
1110009672,2022-06-28,100103,Credit,Lazada Express,2000000,0,,,2000000,High Impact
1110010672,2022-07-17,100102,Credit,Lazada Express,1050000,45000,,,1005000,Low Impact
1110011672,2022-07-05,100110,Wallet,Sicepat Express,550000,15000,,,535000,High Impact
1110012672,2022-07-08,100110,Debit,JNE Express,490000,35000,Body Soap Promo,10000.0,445000,Medium High Impact
